Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C2, C67, C68, CD4",0402,7,"22pF,0402,50V",
"C10, C11, C13, C14, C15, C16, C17, C20, C21, C23, C24, C25, C27, C28, C3, C30, C31, C32, C33, C34, C35, C36, C39, C4, C40, C41, C43, C44, C45, C49, C50, C52, C54, C55, C56, C57, C59, C6, C60, C61, C62, C63, C65, C66, C69, C7, C75, C8, CD1, CD3, CD5, CL1, CL3, CL4",0402,54,"0.1uF,0402,50V",
"C12, C22, C26, C29, C37, C38, C42, C46, C47, C48, C5, C51, C53, C58, C70, C9, CD2, CD6, CD7, CL2, CL5",0603,21,"22uF,0603,10V",
C64,0402,1,"2200pF,0402,50V",
"C76, C77",0402,2,"4.7pF,0402,50V",
CE1,CP_Radial_D6.3mm_P2.50mm,1,"220uF,16V",
D1,0402,1,LED_ALT,
D2,SOT-23,1,TVS_Dual,
"D3, D6",D_SOD-523,2,1N5819,
"DE1, DE2, DE3",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,CS0806S,
F1,0805,1,Fuse,
"FB1, FB10, FB11, FB2, FB3, FB4, FB6, FB7, FB8",0402,9,"1000ohm,0402",
FB5,0603,1,"220ohm,0603",
"FL1, FL2, FL5, FL6",L_LC4_2mmx1.2mm-S,4,WCM2012F2SF-801-N,
"FL3, FL4, FL7, FL8",L_LC4_3.2mmx1.6mm,4,DCM321620F2SF-600T02,
"H1, H2, H3, H4",MountingHole_2.7mm_M3_Pad_Via,4,MountingHole_Pad,
"J1, J2",RJ45U-D-14_LED,2,RJ45_LED,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,USB2-HD-1,1,USB_A_Stacked,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
J6,FPC-SMD_32P-P0.50_GT-F0511SR12-32S0101,1,Conn_01x32_Shielded,
J7,HDMI-SMD_19P-P0.40-H-F_HDMI-519,1,HDMI_C_1.4,
J8,TF-SMD_TF-CARD-H1.8,1,Micro_SD_Card_Det1,
J9,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
LD1,L_Sunlord_SWPA252012S,1,2.2uH,
"Q1, Q2",SOT-363_SC-70-6,2,BSS138PS,
Q3,SOT-323_SC-70,1,MMBT3904,
"R1, R2, R3, R4, R45, RD1",0402,6,"1kohm,0402,5%",
"R11, R12, R14, R18, R19, R20, R21, R28, R32, R33, R35, R39, R40, R46, R51, R59, R60, R7, R72, R73, R74, R75, R76, R8",0402,24,"4.7kohm,0402,5%",
"R15, R36",0402,2,"2.49kohm,0402,1%",
"R17, R38",0402,2,"22ohm,0402,5%",
"R22, R23",0603,2,"51ohm,0603,5%",
"R24, R43, R44, R49, R61, R65, R66, R67, R68, R69, R70, R71",0402,12,"100ohm,0402,5%",
R25,0402,1,"47kohm,0402,5%",
"R26, R27",0603,2,"0ohm,0603,5%",
R29,0402,1,"1Mohm,0402,5%",
"R47, RL4",0402,2,"15kohm,0402,5%",
R48,0402,1,"10kohm,0402,5%",
"R5, R6",0402,2,"2.2kohm,0402,5%",
R50,0402,1,"0ohm,0402,5%",
"R53, R54",0402,2,"5.1kohm,0402,5%",
R58,0402,1,"6.04kohm,0402,1%",
"R62, R63, R64",0402,3,"100kohm,0402,5%",
RD3,0402,1,"20kohm,0402,1%",
RD4,0402,1,"91kohm,0402,1%",
RL2,0402,1,"51kohm,0402,5%",
RL3,0402,1,"11kohm,0402,5%",
RN1,R_Array_Concave_4x0402_Normal,1,"10kohm,0402",
"SW1, SW2",TSW 3x4_Smiley_Face_Switch,2,SW_Push,
"U1, U2",QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,2,YT8512H,
U3,VANXOAK_RK3506B-BJ-128p,1,HD-RK3506G-128,
U4,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias,1,CH334P,
U5,WIFI_WIRELM-SMD_M573H-USBDG,1,WiFi_ATBM6032_Module,
U6,QFN-64-1EP_7.5x7.5mm_P0.4mm_EP6.25x6.25mm_ThermalVias,1,"LT8912B,QFN-64",
U8,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3Z,
UD1,SOT-23-5,1,SY8088AAC,
UL1,SOT-23-5,1,RT9193B,
"Y1, Y2, Y4",Crystal_SMD_2016-4Pin_2.0x1.6mm,3,"25MHz,2016",
