Designator,Mid X,Mid Y,Rotation,Layer
C1,20.021101,-3.12819,0.0,top
C10,18.21181,4.680401,270.0,bottom
C11,23.6474,3.1242,90.0,bottom
C12,20.3454,4.4752,90.0,bottom
C13,-33.8582,2.2098,270.0,top
C14,25.654,-0.8128,180.0,top
C15,25.654,0.2032,180.0,top
C16,25.654,1.2192,180.0,top
C17,25.654,2.2352,180.0,top
C18,20.066,-17.65559,0.0,top
C19,21.9456,-17.65559,180.0,top
C2,21.849901,-3.12819,180.0,top
C20,19.6596,-15.983401,270.0,bottom
C21,16.96721,-14.598199,90.0,bottom
C22,18.4404,-15.5496,270.0,bottom
C23,21.675342,-15.057155,180.0,bottom
C24,18.1356,-9.8124,270.0,top
C25,21.545102,-12.70001,180.0,bottom
C26,21.5392,-16.256,180.0,bottom
C27,18.13561,-9.8124,270.0,bottom
C28,23.5768,-11.3538,90.0,bottom
C29,20.2184,-9.987,90.0,bottom
C3,19.6596,-1.553381,270.0,bottom
C30,1.016,-18.387262,180.0,bottom
C31,25.654,-15.621,180.0,top
C32,25.654,-14.6304,180.0,top
C33,25.654,-13.6398,180.0,top
C34,25.654,-12.6492,180.0,top
C35,-38.1,-17.976399,90.0,top
C36,-23.368,23.622,180.0,top
C37,0.5334,-19.5834,180.0,bottom
C38,24.4856,14.2192,90.0,bottom
C39,19.3548,15.3416,90.0,top
C4,17.01801,-0.120199,90.0,bottom
C40,7.2898,-18.542,0.0,bottom
C41,24.4856,14.6304,90.0,top
C42,23.114,14.2288,90.0,bottom
C43,22.5552,14.6304,90.0,top
C44,26.124802,16.662421,0.0,top
C45,26.118001,15.62101,0.0,top
C46,26.3906,13.589,90.0,top
C47,-28.702,5.82524,180.0,top
C48,-31.7246,18.4658,0.0,bottom
C49,-28.937401,4.6482,180.0,top
C5,18.4404,-1.2748,270.0,bottom
C50,-32.1818,19.6596,0.0,bottom
C51,-37.6428,-11.5824,0.0,bottom
C52,-38.0492,-10.3632,0.0,bottom
C53,-8.4836,20.1676,270.0,bottom
C54,-18.669,26.3906,0.0,bottom
C55,-15.051233,19.530999,270.0,bottom
C56,-8.4328,19.2278,135.0,top
C57,-10.2176,23.5204,180.0,bottom
C58,-17.5514,20.8582,90.0,bottom
C59,-8.2804,26.0096,135.0,top
C6,21.826625,-0.564297,180.0,bottom
C60,-18.542,26.1874,270.0,top
C61,-30.988,3.8608,90.0,top
C62,-18.745907,20.827293,90.0,bottom
C63,-13.84979,26.397401,90.0,bottom
C64,-11.2522,26.8224,0.0,bottom
C65,-17.3228,25.8572,270.0,bottom
C66,-8.4312,26.8224,0.0,bottom
C67,-19.7866,24.6126,0.0,top
C68,-18.8214,22.270454,90.0,top
C69,-28.194,-1.5494,90.0,bottom
C7,18.2372,4.6228,270.0,top
C70,-26.9748,-2.0272,90.0,bottom
C75,9.9314,-20.2692,0.0,bottom
C76,-27.66059,13.849801,90.0,bottom
C77,-30.142999,13.74139,180.0,bottom
C8,21.545101,1.79939,180.0,bottom
C9,21.5392,-1.757925,180.0,bottom
CD1,-35.4076,-20.079601,180.0,top
CD2,-36.9316,-18.098401,270.0,top
CD3,-32.1056,-16.5422,90.0,top
CD4,-31.14039,-19.603802,270.0,top
CD5,-30.8356,-13.780401,90.0,top
CD6,-32.0954,-14.136001,90.0,top
CD7,-33.467,-14.136001,90.0,top
CE1,22.9616,10.18,270.0,top
CL1,11.9888,22.1742,0.0,top
CL2,13.462,24.003,270.0,top
CL3,11.938,26.797,0.0,top
CL4,9.8552,22.1742,180.0,top
CL5,8.2296,24.003,270.0,top
D1,-40.9008,-20.4216,180.0,top
D2,-26.543,18.2372,45.0,bottom
D3,7.7226,20.1676,270.0,top
D6,-8.128,-20.701,0.0,top
DE1,23.6728,0.6096,180.0,top
DE2,23.5768,-14.0716,180.0,top
DE3,26.0035,18.796,180.0,top
F1,18.288,13.0556,180.0,top
FB1,19.2024,4.6296,90.0,bottom
FB10,-19.5072,26.1874,270.0,top
FB11,-18.669,25.4254,180.0,bottom
FB2,22.7076,3.1242,90.0,bottom
FB3,19.0754,-9.8044,90.0,bottom
FB4,22.6314,-11.3538,90.0,bottom
FB5,-29.972,2.8448,45.0,top
FB6,-13.6466,19.304,0.0,bottom
FB7,-9.812236,22.157128,90.0,bottom
FB8,-9.8806,26.3906,90.0,bottom
FL1,25.75636,-5.28405,90.0,top
FL2,27.48965,4.31596,180.0,top
FL3,28.455204,-5.768762,90.0,top
FL4,28.460695,0.095829,270.0,top
FL5,25.65476,-20.00885,90.0,top
FL6,28.182101,-14.09785,90.0,top
FL7,26.980863,-23.99106,0.0,top
FL8,28.409895,-19.558,270.0,top
J1,36.1775,-0.48,90.0,top
J2,36.1775,-18.768,90.0,top
J3,24.9428,24.5822,180.0,top
J4,32.35,19.288,90.0,top
J5,-31.3,23.6,180.0,top
J6,-39.545,-3.81,270.0,top
J7,0.205826,24.22633,180.0,top
J8,-34.948,0.0,90.0,bottom
J9,-10.0,-24.5,90.0,top
LD1,-35.4736,-14.237601,90.0,top
Q1,-35.7886,4.8768,90.0,top
Q2,-32.9184,4.8768,270.0,top
Q3,10.2108,20.2683,0.0,top
R1,18.1864,-6.2738,315.0,top
R11,16.8656,-5.174124,90.0,top
R12,16.8656,-3.4584,270.0,top
R14,22.5552,4.6228,90.0,top
R15,23.622,-1.651,180.0,top
R17,15.4432,0.3048,180.0,bottom
R18,17.018,1.694999,270.0,bottom
R19,15.4432,1.2192,180.0,bottom
R2,18.2372,-4.8768,0.0,top
R20,-24.0792,21.6154,270.0,top
R21,-32.893,2.2098,270.0,top
R22,7.665201,-20.828,0.0,bottom
R23,7.6708,-19.6342,180.0,bottom
R24,13.716,-20.3454,90.0,top
R25,-6.0198,-20.7264,180.0,top
R26,-38.1762,-13.589,270.0,bottom
R28,19.9644,-9.8552,270.0,top
R29,-18.6436,23.9522,90.0,top
R3,15.9512,-18.9484,270.0,top
R32,15.9512,-17.2212,270.0,top
R33,16.8656,-17.9832,270.0,top
R35,22.479,-9.906,90.0,top
R36,23.4696,-16.256,180.0,top
R38,15.1198,-14.1732,180.0,bottom
R39,16.9672,-12.867201,270.0,bottom
R4,17.2466,-19.3294,180.0,top
R40,15.367,-15.7988,180.0,top
R43,24.511,20.955,180.0,top
R44,-38.1,-16.129,90.0,top
R45,-38.7672,-20.4216,0.0,top
R46,-9.4488,17.7292,0.0,top
R47,4.4196,19.7866,0.0,top
R48,6.128201,19.7866,180.0,top
R49,-25.1206,23.622,180.0,top
R5,1.9558,21.1836,270.0,bottom
R50,23.5204,14.6304,270.0,top
R51,20.32,15.3416,90.0,top
R53,-30.0482,22.9362,270.0,bottom
R54,-33.02,22.9362,270.0,bottom
R58,-11.8432,19.4564,270.0,bottom
R59,-17.133201,23.6728,0.0,bottom
R6,2.8448,21.176799,270.0,bottom
R60,-30.988,5.6642,270.0,top
R61,-9.7282,18.161,0.0,bottom
R62,9.315,18.4912,180.0,top
R63,8.044999,22.098,0.0,top
R64,3.7338,21.1836,270.0,bottom
R65,-27.7876,4.2418,0.0,bottom
R66,-27.7876,1.5748,0.0,bottom
R67,-27.7876,0.6858,0.0,bottom
R68,-28.194,-3.3528,90.0,bottom
R69,-27.8384,-5.5372,0.0,bottom
R7,20.066,4.6228,270.0,top
R70,-27.8384,-7.3152,0.0,bottom
R71,-27.8384,-8.2042,0.0,bottom
R72,-27.8384,-4.6736,0.0,bottom
R73,-27.8384,-6.4262,0.0,bottom
R74,-27.7876,3.3528,0.0,bottom
R75,-27.7876,2.4638,0.0,bottom
R76,-27.7876,-0.2032,0.0,bottom
R8,-23.114,21.6154,270.0,top
RD1,-32.10459,-16.542199,270.0,bottom
RD3,-33.4264,-20.028801,180.0,top
RD4,-32.1056,-19.603802,90.0,top
RL2,13.3604,26.4414,270.0,top
RL3,9.8044,26.797,0.0,top
RL4,8.4836,26.3906,270.0,top
RN1,-35.7886,2.2606,180.0,top
SW1,-40.7416,-17.018,270.0,top
SW2,-23.2918,26.2128,180.0,top
U1,19.5326,0.5588,270.0,top
U2,19.420701,-13.9432,270.0,top
U3,-6.65401,-1.395272,180.0,top
U4,22.8707,17.6316,270.0,top
U5,-34.5186,13.157175,90.0,top
U6,-13.651223,22.9154,180.0,top
U8,4.1495,-19.6829,180.0,bottom
UD1,-34.4576,-17.658801,90.0,top
UL1,10.838,24.5262,0.0,top
Y1,20.7264,-4.8768,0.0,top
Y2,21.214802,-19.386914,0.0,top
Y4,-20.7772,22.8346,0.0,top
